_object	#	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	S/N	Volume	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.26: @(3.509, 99.38)>	26			3.5093453426671815	99.38183548020511	16.95617072236459	62.597474483887666	12462.296875		None	None	1.0		
<PK:58-581.1.27: @(3.443, 99.37)>	27			3.4429511254545293	99.37005882023061	11.3416963125555	77.93692376931267	13859.1796875		None	None	1.0		
<PK:58-581.1.28: @(4.695, 99.27)>	28			4.694679210049889	99.26766719532877	6.359753360112116	59.359924763894185	-164317.109375		None	None	1.0		
<PK:58-581.1.29: @(3.985, 99.25)>	29			3.985286604465312	99.24862685460481	17.700379547209284	57.68313275611021	19117.37890625		None	None	1.0		
<PK:58-581.1.30: @(1.742, 99.26)>	30			1.7424362077643636	99.2590355598892	15.300307542276665	91.34519713068237	39389.4921875		None	None	1.0		
<PK:58-581.1.31: @(4.685, 99.14)>	31			4.6854786439313205	99.14423966546461	7.030710828705465	60.15864345882346	36574.515625		None	None	1.0		
<PK:58-581.1.32: @(1.752, 99.14)>	32			1.7515598396799064	99.14090308098473	18.996198494464892	138.25342674172484	38184.6875		None	None	1.0		
<PK:58-581.1.33: @(3.918, 99.1)>	33			3.917934771458457	99.09563267950848	12.884614989161472	82.27449290826635	12084.0849609375		None	None	1.0		
<PK:58-581.1.34: @(2.988, 99.05)>	34			2.9883368848695433	99.05058835298041	11.456587787669802	55.59260018876625	12776.3955078125		None	None	1.0		
<PK:58-581.1.35: @(6.869, 98.92)>	35			6.868857945987697	98.9209726083999	20.94969535485289	58.810586065248074	30857.685546875		None	None	1.0		
<PK:58-581.1.36: @(4.704, 98.95)>	36			4.704384388083968	98.94872173180094	5.63938654242799	55.59162907760952	-77925.4140625		None	None	1.0		
<PK:58-581.1.37: @(1.267, 98.96)>	37			1.266958462593168	98.96064882888858	13.044556208814546	83.30474743197385	11782.337890625		None	None	1.0		
<PK:58-581.1.38: @(4.693, 98.91)>	38			4.6929799676525885	98.91352253321615	4.895272864721326	52.042969736519375	74121.109375		None	None	1.0		
<PK:58-581.1.39: @(1.326, 98.89)>	39			1.3259560057147564	98.88524377725847	19.60337753049453	61.22797846276193	40784.04296875		None	None	1.0		
<PK:58-581.1.40: @(1.302, 98.89)>	40			1.3023682657778686	98.88635738086074	13.825241834498348	68.48377034683135	28081.37890625		None	None	1.0		
<PK:58-581.1.41: @(2.105, 98.84)>	41			2.1051580381333324	98.83622972222652	11.207427656373516	70.29748902771448	13962.9423828125		None	None	1.0		
<PK:58-581.1.42: @(1.938, 98.77)>	42			1.9382146403814033	98.77461913333903	14.751928691298511	94.14472176837009	14034.1982421875		None	None	1.0		
<PK:58-581.1.43: @(1.964, 98.73)>	43			1.9636010159716761	98.73198756989284	17.501870528436598	57.40197584475399	14305.26953125		None	None	1.0		
<PK:58-581.1.44: @(1.604, 98.74)>	44			1.6039102020611118	98.7389887823234	20.607980565191813	68.80353567049512	118808.2109375		None	None	1.0		
<PK:58-581.1.45: @(4.708, 98.68)>	45			4.7084886605672125	98.67611150288062	4.76800703789847	44.273743291293016	-24576.53125		None	None	1.0		
<PK:58-581.1.46: @(3.894, 98.67)>	46			3.894042639674808	98.67083074093101	11.02170342794403	99.2203218987848	11834.8427734375		None	None	1.0		
<PK:58-581.1.47: @(1.886, 98.67)>	47			1.886124928557729	98.66530002193187	16.68286784432635	68.87516860595903	11548.3681640625		None	None	1.0		
<PK:58-581.1.48: @(1.697, 98.7)>	48			1.6969413340523758	98.70296867004699	24.14382731494227	69.39490190197978	99479.2421875		None	None	1.0		
<PK:58-581.1.49: @(1.244, 98.7)>	49			1.2439871519848857	98.70118408673207	13.620177737604328	110.72724054120384	12632.4814453125		None	None	1.0		
<PK:58-581.1.50: @(1.208, 98.7)>	50			1.208257187831066	98.70352614269366	13.38005770379914	71.17971653829518	14517.70703125		None	None	1.0		
<PK:58-581.1.51: @(1.184, 98.64)>	51			1.1836105274351176	98.6367787553102	19.3135630793105	71.6320722539902	13065.669921875		None	None	1.0		
<PK:58-581.1.52: @(4.678, 98.58)>	52			4.678161771156439	98.5787672527638	7.54001442916117	78.46657723555253	13907.6298828125		None	None	1.0		
<PK:58-581.1.53: @(2.118, 98.58)>	53			2.1183811640101915	98.58167577070235	11.451259547940031	66.70103280937894	19509.6328125		None	None	1.0		
<PK:58-581.1.54: @(1.927, 98.6)>	54			1.926957876277573	98.60344202520793	15.541545461672214	92.1045318731442	13938.40625		None	None	1.0		
<PK:58-581.1.55: @(1.227, 98.6)>	55			1.2266286932322554	98.60308956295935	11.51030524992024	70.72128463404312	15032.9609375		None	None	1.0		
<PK:58-581.1.56: @(1.153, 98.61)>	56			1.1534781238667815	98.60928857828895	11.139125443803941	58.92224361678977	16481.50390625		None	None	1.0		
<PK:58-581.1.57: @(3.668, 98.54)>	57			3.6678737633053657	98.53648197978718	11.678935082342743	75.52702376412608	14312.5634765625		None	None	1.0		
<PK:58-581.1.58: @(1.372, 98.56)>	58			1.3716998404191507	98.56266843557911	16.96648541837928	113.86090834273695	17799.228515625		None	None	1.0		
<PK:58-581.1.59: @(1.109, 98.52)>	59			1.1086813922083518	98.51971339041184	18.332416239457224	58.407271462968	24050.236328125		None	None	1.0		
<PK:58-581.1.60: @(0.901, 98.5)>	60			0.9013136103613526	98.50216165594897	26.872686038796676	57.33358669030667	20274.333984375		None	None	1.0		
<PK:58-581.1.61: @(2.545, 98.43)>	61			2.5451796284571326	98.42904767601914	16.160655575684988	77.3873355490499	19340.458984375		None	None	1.0		
<PK:58-581.1.62: @(1.398, 98.45)>	62			1.3975363527749636	98.44758944433515	17.24148079609639	93.53056814383963	17674.533203125		None	None	1.0		
