_object	#	Pid	_object	Spectrum	PeakList	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	HeightError	S/N	Volume	VolumeError	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.89: @(2.043, 86.17)>	89	PK:58-581.1.89	<PK:58-581.1.89: @(2.043, 86.17)>	58-581	1			2.043379395250133	86.16543339918991	40.232872542662435	79.7639210464986	54576.6875			None		None	1.0		
<PK:58-581.1.90: @(0.521, 85.91)>	90	PK:58-581.1.90	<PK:58-581.1.90: @(0.521, 85.91)>	58-581	1			0.5207504515990138	85.90718040533868	27.334278759856975	72.16953507244878	167499.578125			None		None	1.0		
<PK:58-581.1.91: @(0.62, 85.55)>	91	PK:58-581.1.91	<PK:58-581.1.91: @(0.62, 85.55)>	58-581	1			0.6200299788622434	85.55386162117469	28.99717014187417	75.56066871941036	155916.21875			None		None	1.0		
<PK:58-581.1.92: @(2.25, 85.41)>	92	PK:58-581.1.92	<PK:58-581.1.92: @(2.25, 85.41)>	58-581	1			2.2504787436278733	85.41184630299023	31.778756051491417	64.18288762935418	173688.90625			None		None	1.0		
<PK:58-581.1.93: @(2.363, 85.42)>	93	PK:58-581.1.93	<PK:58-581.1.93: @(2.363, 85.42)>	58-581	1			2.363080670560999	85.41900449327797	31.44165309957964	66.83578797003041	176343.265625			None		None	1.0		
<PK:58-581.1.94: @(-0.561, 84.93)>	94	PK:58-581.1.94	<PK:58-581.1.94: @(-0.561, 84.93)>	58-581	1			-0.5612294817992662	84.93306652195051	27.785671707720287	73.2992610514465	122718.0234375			None		None	1.0		
<PK:58-581.1.95: @(0.465, 84.91)>	95	PK:58-581.1.95	<PK:58-581.1.95: @(0.465, 84.91)>	58-581	1			0.4649373154896903	84.9081980093134	27.27032495805846	60.54049920207076	302525.90625			None		None	1.0		
<PK:58-581.1.96: @(-0.264, 84.85)>	96	PK:58-581.1.96	<PK:58-581.1.96: @(-0.264, 84.85)>	58-581	1			-0.263767925389633	84.84976038567773	27.31289117573159	71.847692649922	190932.890625			None		None	1.0		
<PK:58-581.1.97: @(-0.081, 84.42)>	97	PK:58-581.1.97	<PK:58-581.1.97: @(-0.081, 84.42)>	58-581	1			-0.08109076634030998	84.41760597994309	33.9852383312506	76.97055352329765	124114.8671875			None		None	1.0		
<PK:58-581.1.98: @(2.82, 83.96)>	98	PK:58-581.1.98	<PK:58-581.1.98: @(2.82, 83.96)>	58-581	1			2.8201939586508473	83.95567354554554	42.93665719720027	68.27446217341831	37660.4453125			None		None	1.0		
<PK:58-581.1.99: @(0.714, 83.93)>	99	PK:58-581.1.99	<PK:58-581.1.99: @(0.714, 83.93)>	58-581	1			0.7144791372353936	83.92871736157694	38.21605470222534	71.28742220693519	315927.28125			None		None	1.0		
<PK:58-581.1.100: @(4.13, 83.8)>	100	PK:58-581.1.100	<PK:58-581.1.100: @(4.13, 83.8)>	58-581	1			4.130074598095481	83.80364813849863	32.18229633206735	62.07161779251752	74569.1796875			None		None	1.0		
<PK:58-581.1.101: @(0.668, 83.71)>	101	PK:58-581.1.101	<PK:58-581.1.101: @(0.668, 83.71)>	58-581	1			0.6684335388712999	83.70593009324496	43.014810683253415	85.4024756632361	210820.921875			None		None	1.0		
<PK:58-581.1.102: @(1.773, 82.78)>	102	PK:58-581.1.102	<PK:58-581.1.102: @(1.773, 82.78)>	58-581	1			1.7734053305221469	82.78321907878473	40.90310540050262	82.22926880120356	52030.8203125			None		None	1.0		
<PK:58-581.1.103: @(6.971, 92.68)>	103	PK:58-581.1.103	<PK:58-581.1.103: @(6.971, 92.68)>	58-581	1			6.970956681724908	92.6843225083828	33.91592942464805	196.7177172660134	53492.578125			None		None	1.0		
<PK:58-581.1.104: @(6.822, 87.91)>	104	PK:58-581.1.104	<PK:58-581.1.104: @(6.822, 87.91)>	58-581	1			6.822301762555685	87.90978369181545	40.85416619021152	89.82662205934339	41201.13671875			None		None	1.0		
<PK:58-581.1.134: @(-0.261, 83.82)>	134	PK:58-581.1.134	<PK:58-581.1.134: @(-0.261, 83.82)>	58-581	1			-0.2613048553466797	83.81963348388672	None	None	64032.64453125			None		None	1.0		
<PK:58-581.1.135: @(2.182, 83.46)>	135	PK:58-581.1.135	<PK:58-581.1.135: @(2.182, 83.46)>	58-581	1			2.1819825172424316	83.46106719970703	None	None	26235.48046875			None		None	1.0		
<PK:58-581.1.136: @(1.658, 83.65)>	136	PK:58-581.1.136	<PK:58-581.1.136: @(1.658, 83.65)>	58-581	1			1.6577143669128418	83.65347290039062	None	None	10384.306640625			None		None	1.0		
<PK:58-581.1.137: @(1.401, 85.38)>	137	PK:58-581.1.137	<PK:58-581.1.137: @(1.401, 85.38)>	58-581	1			1.4005260467529297	85.37635803222656	None	None	19037.701171875			None		None	1.0		
<PK:58-581.1.138: @(2.439, 90.1)>	138	PK:58-581.1.138	<PK:58-581.1.138: @(2.439, 90.1)>	58-581	1			2.4391705989837646	90.09899139404297	None	None	38579.71484375			None		None	1.0		
<PK:58-581.1.139: @(2.538, 90.07)>	139	PK:58-581.1.139	<PK:58-581.1.139: @(2.538, 90.07)>	58-581	1			2.53808903694153	90.07275390625	None	None	25279.634765625			None		None	1.0		
